1,D:maj,D
1,D:maj,D
1,D:maj,E
2,G:maj,D
2,G:maj,D
2,G:maj,D
3,A:maj,C#
3,A:maj,B
3,A:maj,B
3,A:maj,B
4,D:maj,A
4,D:maj,A
4,D:maj,A
4,D:maj,B
5,A:maj,C#
5,A:maj,C#
5,A:maj,D
6,A:maj,E
6,A:maj,D
7,A:maj,C#
7,A:maj,E
7,A:maj,D
8,D:maj,D
8,D:maj,A
8,D:maj,B
8,D:maj,E
9,A:maj,E
9,A:maj,G
9,A:maj,F#
10,A:maj,E
10,A:maj,E
10,A:maj,D
11,D:maj,D
11,D:maj,F#
12,D:maj,F#
12,D:maj,D
12,D:maj,D
12,D:maj,A
13,D:maj,A
13,D:maj,F#
14,G:maj,G
14,G:maj,F#
15,D:maj,F#
15,D:maj,E
16,A:maj,E
17,D:maj,F#
17,D:maj,D
17,D:maj,D
17,D:maj,E
17,D:maj,F#
18,G:maj,G
18,G:maj,B
18,G:maj,B
18,G:maj,G
19,D:maj,F#
19,D:maj,F#
19,D:maj,D
20,A:maj,A
20,A:maj,B
20,A:maj,A
20,A:maj,A
21,D:maj,A
21,D:maj,D
21,D:maj,E
21,D:maj,F#
22,G:maj,G
22,G:maj,B
22,G:maj,B
22,G:maj,G
23,D:maj,F#
23,D:maj,E
24,A:maj,D
25,D:maj,D
