1,G:maj,G
1,G:maj,D
1,G:maj,E
1,G:maj,B
1,G:maj,D
1,G:maj,G
1,G:maj,B
1,G:maj,D
2,E:min,E
3,G:maj,G
3,G:maj,D
3,G:maj,E
3,G:maj,B
3,G:maj,D
3,G:maj,G
3,G:maj,B
3,G:maj,D
4,E:min,E
5,A:min,E
5,A:min,D
5,A:min,E
5,A:min,D
5,A:min,E
5,A:min,G
5,A:min,E
5,A:min,D
6,D:maj,D
7,A:min,E
7,A:min,D
7,A:min,E
7,A:min,D
7,A:min,E
7,A:min,G
7,A:min,E
7,A:min,D
8,D:maj,D
9,D:maj,D
9,D:maj,D
9,D:maj,D
9,D:maj,D
9,D:maj,D
9,D:maj,D
10,D:maj,D
10,D:maj,D
10,D:maj,D
10,D:maj,D
11,G:maj,D
11,G:maj,D
11,G:maj,C#
11,G:maj,C#
11,G:maj,B
12,E:min,B
12,E:min,B
12,E:min,B
12,E:min,B
12,E:min,B
13,G:maj,B
13,G:maj,D
13,G:maj,D
13,G:maj,E
13,G:maj,D
13,G:maj,B
13,G:maj,D
14,E:min,D
14,E:min,G
14,E:min,G
14,E:min,G
14,E:min,E
14,E:min,G
15,G:maj,G
16,G:maj,B
16,G:maj,D
16,G:maj,D
16,G:maj,E
16,G:maj,D
16,G:maj,B
16,G:maj,D
17,E:min,D
17,E:min,B
17,E:min,A
17,E:min,B
17,E:min,A
18,A:min,A
19,B:min,B
19,B:min,D
19,B:min,D
19,B:min,D
19,B:min,D
19,B:min,D
19,B:min,B
19,B:min,E
20,E:min,E
21,B:min,B
21,B:min,D
21,B:min,D
21,B:min,D
21,B:min,D
21,B:min,D
21,B:min,B
21,B:min,E
22,E:min,E
22,E:min,B
22,E:min,B
22,E:min,A
22,E:min,G
22,E:min,A
23,A:min,A
24,A:min,A
24,A:min,B
24,A:min,A
25,D:maj,D
25,D:maj,D
25,D:maj,D
25,D:maj,D
26,D:maj,B
26,D:maj,B
26,D:maj,D
26,D:maj,A
26,D:maj,B
26,D:maj,G
27,G:maj,G
28,C:maj,E
28,C:maj,E
28,C:maj,E
28,C:maj,E
29,C:maj,E
29,C:maj,E
29,C:maj,E
29,C:maj,D
29,C:maj,B
29,C:maj,D
30,G:maj,D
30,G:maj,D
30,G:maj,E
30,G:maj,D
31,G:maj,D
32,C:maj,E
33,D:maj,F#
34,G:maj,G
34,G:maj,G
34,G:maj,G
34,G:maj,G
35,E:min,G
35,E:min,F#
35,E:min,E
35,E:min,G
35,E:min,G
36,E:min,G
36,E:min,F#
36,E:min,E
36,E:min,G
36,E:min,G
36,E:min,G
37,C:maj,E
38,D:maj,F#
39,G:maj,G
40,E:min,G
40,E:min,G
41,C:maj,E
42,D:maj,F#
43,G:maj,G
44,G:maj,G
